PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
18833622248,MT,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.18,.
18840554263,FL,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
18847547830,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
18857885853,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.14,-0.59
18859917521,NC,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,0.02,0.20
18862008724,FL,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
18874897058,NM,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.79,-3.01
18878628022,PA,100+ EPs,1,Not Eligible,CAT1,1.0xAF,.,Average,High,-0.03,1.37
18893627603,MO,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.08,0.50
18907860082,TN,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
18913939744,MI,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.27,-0.11
18926304213,NY,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,2.43,1.26
18973518817,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.50,0.62
18975194806,IL,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.57,.
18982520701,FL,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.26,-0.11
19002206917,AZ,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.38,.
19018307633,AZ,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.54,.
19025356245,FL,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.21,.
19046179785,GA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,0.18,0.62
19057569159,VA,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.50,0.50
19062525311,PA,100+ EPs,1,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
19065469608,IN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.06,-0.83
19067553889,OR,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.24,0.57
19088815725,SC,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.13,-0.34
19099197972,NE,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.50,.
19122538915,AZ,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-1.34,-3.63
19130682756,KY,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.19,-0.59
19145884492,TX,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,7.71,.
19147512202,PA,100+ EPs,1,Not Eligible,CAT1,-0.5%,.,High,Average,3.02,-0.87
19160410901,NH,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.18,.
19162397796,CT,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.43,.
19179166469,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.68,-2.72
19194163768,WI,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.07,.
19194226053,MO,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19208338111,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.45,.
19217499790,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,2.77,-0.39
19221766120,IL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.63,-0.05
19233435140,NY,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.31,.
19261810993,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19266508102,TN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.63,-4.39
19273734826,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
19278940898,MD,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19290262942,NM,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.53,0.70
19292017468,KY,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.25,-0.17
19298151452,TX,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.10,.
19298844793,CA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-1.21,-0.11
19307357438,MN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19320930228,MI,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.11,0.84
19364651837,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.11,.
19379474304,CO,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.42,0.51
19392424633,MD,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,1.06,.
19395510738,CA,100+ EPs,1,Not Eligible,CAT1,1.0xAF,.,Average,High,-0.48,1.34
19406586277,NH,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.20,.
19421809450,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.12,.
19422198773,MO,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.55,.
